,sm1Europe_cluster1,sm1Europe_cluster2,sm1Europe_cluster3,sm1Europe_cluster4,sm1Europe_cluster5
1950-10-12,0.0026377067,0.0010156315,0.007636547,-0.0102496445,-0.04828435
1950-10-13,-0.00082785636,-0.00049564615,-0.0008356124,0.013593286,-0.039712917
1950-10-14,-0.0037641376,-0.0018603038,-0.005877346,-0.0026692152,-0.041344114
1950-10-15,-0.005295709,-0.0017142538,0.008905634,-0.010934204,-0.041790884
1950-10-16,0.002457559,0.0002934616,0.009090111,-0.015554786,-0.042701118
1950-10-17,0.0002751574,0.003060896,0.016318902,-0.018540144,-0.04384004
1950-10-18,-0.00044691563,0.0011206456,0.0076909214,-0.020101994,-0.04469255
1950-10-19,-0.0036243796,-0.00039225817,0.00017610192,-0.013649732,-0.04514778
1950-10-20,-0.0052146018,-0.00093709864,0.006666705,0.011405796,-0.046227645
1950-10-21,-0.007338874,0.0008544065,0.034925833,0.0083420575,-0.04742828
1950-10-22,-0.009250119,0.0018076599,0.024304315,0.0030435622,-0.048617404
1950-10-23,-0.011120319,-0.0003155712,0.0136757195,0.010298282,-0.049516834
1950-10-24,-0.012497716,-0.0012109708,0.005633503,0.002037406,-0.05031609
1950-10-25,-0.014015354,-0.0018453728,-0.00076037645,-0.005357206,-0.05034217
1950-10-26,-0.014815241,-0.002036402,-0.00568375,-0.009223402,-0.0506075
1950-10-27,-0.015650675,-0.0011696629,-0.010923013,-0.012015104,-0.05189866
1950-10-28,-0.014434725,-0.0017100144,-0.015677929,-0.014285982,-0.040871043
1950-10-29,-0.0035547167,-0.0024621338,-0.020407736,-0.016070187,-0.028352812
1950-10-30,-0.0040878057,-0.0031217653,-0.025422752,-0.017440498,-0.029403113
1950-10-31,-0.00449495,-0.0036047157,-0.030004889,-0.018961608,-0.024368584
1950-11-01,-0.0072111934,-0.0037030317,-0.03360112,-0.020395517,0.0040532798
1950-11-02,-0.0018826872,-0.002352465,-0.036008283,-0.021984488,0.018460281
1950-11-03,0.014046036,-0.0026490167,-0.03887827,-0.023498118,0.007415101
1950-11-04,0.007038653,-0.00307497,-0.041570656,-0.024758697,0.0051827654
1950-11-05,0.0032614097,-0.0033022184,-0.043240465,-0.024886757,-0.002340071
1950-11-06,0.00170587,-0.0035085212,-0.044546105,0.016072303,-0.004672937
1950-11-07,0.00017579645,-0.0036440063,-0.047237493,0.047438234,0.014883414
1950-11-08,0.0018009841,-0.0037379172,-0.05090011,0.030942619,0.0026146472
1950-11-09,0.003252484,-0.0037727822,-0.054059476,0.017706871,0.02664166
1950-11-10,0.008456543,-0.0037421957,-0.056688428,0.012394488,0.01354669
1950-11-11,0.011044167,-0.0037106033,-0.045291997,0.0068039596,0.008057773
1950-11-12,0.0072953403,-0.0037205257,-0.014236465,0.023120075,0.0044977516
1950-11-13,0.014121965,-0.0038009174,-0.022204638,0.030803949,0.0016019717
1950-11-14,0.0125837475,-0.0039900374,-0.028318033,0.034721315,-0.0013115034
1950-11-15,0.009061381,-0.0038439054,-0.032834858,0.022866398,-0.0041671842
1950-11-16,0.009015389,-0.0037543382,-0.03669575,0.025149792,-0.0031639338
1950-11-17,0.008505881,0.00044102222,-0.04018779,0.0154954195,-0.0063843653
1950-11-18,0.0050292686,0.0007818118,-0.043503344,0.008695483,-0.0067075193
1950-11-19,0.0067598596,-0.00032029115,-0.045783654,0.004485637,-0.009517558
1950-11-20,0.0037860721,-0.0010411628,-0.04418038,0.0016418397,-0.011774048
